artwork - HAUTEUR,artwork - TITRE,artwork - UNIQUE_KEY,artwork - URL,artwork - IMG_DIRECT_ACCESS,artwork - DISPLAY_DENOMINATION,artwork - DISPLAY_LIEU_CONSERV,artwork - DISPLAY_MATIERE,artwork - DISPLAY_DATE_EXE_TXT,artwork - LARGEUR,artwork - DISPLAY_PERSONNE_AUTEUR,artwork - DISPLAY_TECHNIQUE,artwork - DISPLAY_ROLE_AUTEUR
101,"Histoire de Psyché, épisode 21 : Les deux soeurs tentent de rejoindre le palais où elles pensent que Cupidon les épousera",137371,https://agorha.inha.fr/inhaprod/ark:/54721/003137371,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0020/elem_0224/FR60_0002_MUS_137371_0151_low.jpg,verrière,Musée Condé (Chantilly),verre,1542 - 1544,"55,5",Maître au dé - graveur - 16e siècle - Maestro del Dado,vitrail,d'après
"1,5",Saint François recevant les stigmates,135950,https://agorha.inha.fr/inhaprod/ark:/54721/003135950,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0101/FR75_0065_MUS_135950_0012_low.jpg,statue,Localisation inconnue,terre cuite,Vers 1580,,Pilon - Germain - sculpteur - 1525 - 1590 - 1525 - 1590,,
"1,42","Monument funéraire de Jean d'Estrées, maréchal de France (1624-1707) et de sa femme Marguerite Morin (+ 1714)",135120,https://agorha.inha.fr/inhaprod/ark:/54721/003135120,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0144/FR78_0001_MUS_135120_0155_low.jpg,bas-relief,Musée national des châteaux de Versailles et de Trianon (Versailles),marbre,Vers 1720,"1,12",Coustou - Guillaume - sculpteur - 25 avril 1677 - 22 février 1746 - 25 avril 1677 - 22 février 1746 - I,taillé,
452,L'arbre de Jessé,137453,https://agorha.inha.fr/inhaprod/ark:/54721/003137453,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0022/elem_0128/FR93_0001_REL_137453_0190_low.jpg,verrière,"Basilique cathédrale Saint-Denis, ancienne abbaye (Saint-Denis)",verre,12e siècle,194,Anonyme,vitrail,
2,L'arrestation de l'abbé Jean de la Barrière,136024,https://agorha.inha.fr/inhaprod/ark:/54721/003136024,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0020/elem_0112/FR00_0001_136024_0065_low.jpg,verrière,Localisation inconnue,verre/plomb,1701 - 1709,,Michu - Benoît - peintre-verrier - Vers 1730 - Vers 1730,vitrail,verrier
9,Colonne torse à la mémoire d'Henri III supportant jadis un vase contenant le coeur d'Henri III,135682,https://agorha.inha.fr/inhaprod/ark:/54721/003135682,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0010/elem_0084/FR93_0001_REL_135682_0052_low.jpg,colonne/sculpture,"Basilique cathédrale Saint-Denis, ancienne abbaye (Saint-Denis)",marbre/albâtre,17e siècle,,Pageot - Jean - ornemaniste/sculpteur - 1591 - 1668 - 1591 - 1668 - l'Aîné - Actif au XVIIe siècle,taillé/tourné,
101,"Histoire de Psyché, épisode 07 : Psyché déposée sur la montagne et le vent Zéphyr",137340,https://agorha.inha.fr/inhaprod/ark:/54721/003137340,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0020/elem_0197/FR60_0002_MUS_137340_0124_low.jpg,verrière,Musée Condé (Chantilly),verre,1542 - 1544,"55,5",Maître au dé - graveur - 16e siècle - Maestro del Dado,vitrail,d'après
101,"Histoire de Psyché, épisode 27 : Vénus se plaint à Jupiter",137379,https://agorha.inha.fr/inhaprod/ark:/54721/003137379,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0020/elem_0232/FR60_0002_MUS_137379_0159_low.jpg,verrière,Musée Condé (Chantilly),verre,1542 - 1544,"55,5",Maître au dé - graveur - 16e siècle - Maestro del Dado,vitrail,d'après
"0,38",L'Adoration des Bergers,136716,https://agorha.inha.fr/inhaprod/ark:/54721/003136716,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0249/elem_0036/FR95_0001_MUS_136716_0030_low.jpg,bas-relief,Musée national de la Renaissance (Ecouen),bronze,1550,"0,32",Anonyme allemand - sculpteur - 16e siècle,doré/repoussé,
"1,6",La Vierge et l'Enfant,135739,https://agorha.inha.fr/inhaprod/ark:/54721/003135739,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0138/elem_0020/FR75_0004_REL_135739_0035_low.jpg,statue,Eglise Saint-Germain-des-Prés (Paris),marbre,14e siècle,,"Anonyme, Ile-de-France - sculpteur - 14e siècle",taillé,
101,"Histoire de Psyché, épisode  05 : De retour au palais, le roi annonce la sentence de l'oracle",137336,https://agorha.inha.fr/inhaprod/ark:/54721/003137336,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0020/elem_0193/FR60_0002_MUS_137336_0120_low.jpg,verrière,Musée Condé (Chantilly),verre,1542 - 1544,"55,5",Maître au dé - graveur - 16e siècle - Maestro del Dado,vitrail,d'après
"0,85",Le gouvernement français recevant la paix des mains d'Hercule,137264,https://agorha.inha.fr/inhaprod/ark:/54721/003137264,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0204/FR75_0043_MUS_137264_0039_low.jpg,bas-relief,Ecole nationale supérieure des beaux-arts (Paris),marbre,,"2,25",Opstal - Gerard van - sculpteur - 1594 - 1er août 1668 - 1594 - 1er août 1668,taillé,
"2,45",Saint Pierre,136111,https://agorha.inha.fr/inhaprod/ark:/54721/003136111,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0139/elem_0046/FR75_0015_REL_136111_0029_low.jpg,statue,Eglise Saint-Sulpice (Paris),pierre,18e siècle,,Bouchardon - Edme - sculpteur/dessinateur/professeur - 29 mai 1698 - 27 juillet 1762 - 29 mai 1698 - 27 juillet 1762 - Bouchardon - Edmé,taillé,
"100,5",La Descente de croix,137489,https://agorha.inha.fr/inhaprod/ark:/54721/003137489,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0171/elem_0248/FR75_0043_ADM_137489_0072_low.jpg,bas-relief,Ecole nationale supérieure des beaux-arts (Paris),marbre,,78,Marchand - François - sculpteur - 1551 - 1551 - Actif au XVIe siècle,taillé,sculpteur
"0,43","Buste de femme, autrefois dit buste d'Agnès Sorel",137544,https://agorha.inha.fr/inhaprod/ark:/54721/003137544,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0172/elem_0001/FR75_0043_ADM_137544_0075_low.jpg,sculpture,Ecole nationale supérieure des beaux-arts (Paris),marbre,15e siècle,"0,4",,,
101,"Histoire de Psyché, épisode 37 : Psyché refuse d'écouter les fileuses",137397,https://agorha.inha.fr/inhaprod/ark:/54721/003137397,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0007/FR60_0002_MUS_137397_0184_low.jpg,verrière,Musée Condé (Chantilly),verre,1542 - 1544,"55,5",Maître au dé - graveur - 16e siècle - Maestro del Dado,vitrail,d'après
101,"Histoire de Psyché, épisode 29 : Vénus punit Psyché",137388,https://agorha.inha.fr/inhaprod/ark:/54721/003137388,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0020/elem_0240/FR60_0002_MUS_137388_0167_low.jpg,verrière,Musée Condé (Chantilly),verre,1542 - 1544,"55,5",Maître au dé - graveur - 16e siècle - Maestro del Dado,vitrail,d'après
"0,82","Marc-René de Voyer de Paulmy, marquis d'Argenson, garde des sceaux (1652-1721)",135119,https://agorha.inha.fr/inhaprod/ark:/54721/003135119,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0022/elem_0003/FR78_0001_MUS_135119_0103_low.jpg,buste,Musée national des châteaux de Versailles et de Trianon (Versailles),marbre,Vers 1721,"0,78",Coustou - Guillaume - sculpteur - 25 avril 1677 - 22 février 1746 - 25 avril 1677 - 22 février 1746 - I,taillé,
"2,2",Saint Barthélemy,139155,https://agorha.inha.fr/inhaprod/ark:/54721/003139155,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0139/elem_0054/FR75_0015_REL_139155_0037_low.jpg,statue,Eglise Saint-Sulpice (Paris),pierre,18e siècle,1,Bouchardon - Edme - sculpteur/dessinateur/professeur - 29 mai 1698 - 27 juillet 1762 - 29 mai 1698 - 27 juillet 1762 - Bouchardon - Edmé,taillé,
"0,59","Charles VIII (1470-1498), roi de France",137062,https://agorha.inha.fr/inhaprod/ark:/54721/003137062,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0010/elem_0029/FR75_0043_MUS_137062_0023_low.jpg,buste,Ecole nationale supérieure des beaux-arts (Paris),terre cuite/plâtre,1799 - 1800,"0,52",Deseine - Louis-Pierre - sculpteur - 1749 - 1822 - 1749 - 1822 - Actif à Paris aux XVIIIe-XIX siècles - Deseine - Louis Pierre,,
101,"Histoire de Psyché, épisode  17 : Les deux soeurs conseillant à Psyché de connaître son époux",137362,https://agorha.inha.fr/inhaprod/ark:/54721/003137362,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0020/elem_0216/FR60_0002_MUS_137362_0143_low.jpg,verrière,Musée Condé (Chantilly),verre,1542 - 1544,"55,5",Maître au dé - graveur - 16e siècle - Maestro del Dado,vitrail,d'après
101,"Histoire de Psyché, épisode 24 : Vénus punit son fils Cupidon",137377,https://agorha.inha.fr/inhaprod/ark:/54721/003137377,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0020/elem_0230/FR60_0002_MUS_137377_0157_low.jpg,verrière,Musée Condé (Chantilly),verre,1542 - 1544,"55,5",Maître au dé - graveur - 16e siècle - Maestro del Dado,vitrail,d'après
"92,5",La Charité romaine,137241,https://agorha.inha.fr/inhaprod/ark:/54721/003137241,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0171/elem_0244/FR75_0043_ADM_137241_0068_low.jpg,bas-relief,Ecole nationale supérieure des beaux-arts (Paris),marbre,1681,"74,5",Cornu - Jean - sculpteur - 1650 - 1710 - 1650 - 1710,,
101,"Histoire de Psyché, épisode 28 : Vénus, sur son nuage, donne à Mercure, le messager des dieux, l'ordre de retrouver Psyché",137381,https://agorha.inha.fr/inhaprod/ark:/54721/003137381,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0020/elem_0234/FR60_0002_MUS_137381_0161_low.jpg,verrière,Musée Condé (Chantilly),verre,1542 - 1544,"55,5",Maître au dé - graveur - 16e siècle - Maestro del Dado,vitrail,d'après
"2,78",Saint Jérôme,135703,https://agorha.inha.fr/inhaprod/ark:/54721/003135703,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0120/elem_0195/FR75_0004_REL_135703_0006_low.jpg,statue,Eglise Saint-Roch (Paris),marbre,1752,"1,3",Adam - Lambert Sigisbert - collectionneur/sculpteur - 10 octobre 1700 - 12 mai 1759 - 10 octobre 1700 - 12 mai 1759 - 18e siècle - Adam - l'aîné,taillé,
"50,7",Le comte de Caylus (+ 1765),135974,https://agorha.inha.fr/inhaprod/ark:/54721/003135974,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0171/elem_0233/FR75_0043_ADM_135974_0057_low.jpg,médaillon,Ecole nationale supérieure des beaux-arts (Paris),marbre blanc,1767,"45,4",Vassé - Louis-Claude - sculpteur/dessinateur - 1716 - 1772 - 1716 - 1772 - Actif à Paris au XVIIIe siècle - Vassez - Louis Claude,taillé,sculpteur
80,Combat d'athlètes,137497,https://agorha.inha.fr/inhaprod/ark:/54721/003137497,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0171/elem_0250/FR75_0043_ADM_137497_0074_low.jpg,bas-relief,Ecole nationale supérieure des beaux-arts (Paris),marbre,,50,Legros - Pierre - sculpteur - 12 avril 1666 - 3 mai 1719 - 12 avril 1666 - 3 mai 1719 - II - Le Gros - II - Pierre,taillé,
101,"Histoire de Psyché, épisode 14 : Psyché seule dans le palais de l'Amour",137344,https://agorha.inha.fr/inhaprod/ark:/54721/003137344,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0020/elem_0201/FR60_0002_MUS_137344_0128_low.jpg,verrière,Musée Condé (Chantilly),verre,1542 - 1544,"55,5",Maître au dé - graveur - 16e siècle - Maestro del Dado,vitrail,d'après
165,Vierge de douleur,135664,https://agorha.inha.fr/inhaprod/ark:/54721/003135664,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0138/elem_0048/FR75_0013_REL_135664_0001_low.jpg,statue,Eglise Saint-Paul-Saint-Louis (Paris),marbre,1586 - 1590,104,Pilon - Germain - sculpteur - 1525 - 1590 - 1525 - 1590,taillé,
"0,44",Pied gauche de la statue de Louis XIV,137530,https://agorha.inha.fr/inhaprod/ark:/54721/003137530,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0181/FR75_0016_MUS_137530_0176_low.jpg,sculpture,Département des sculptures du musée du Louvre (Paris),bronze,1685 - 1694,"0,68",Girardon - François - sculpteur/historien.ne de l'art/collectionneur - 17 mars 1628 - 1er septembre 1715 - 17 mars 1628 - 1er septembre 1715,,sculpteur
"0,7",Retable de la Nativité,136420,https://agorha.inha.fr/inhaprod/ark:/54721/003136420,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0172/FR75_0016_MUS_135893_0191_low.jpg,retable,Département des sculptures du musée du Louvre (Paris),calcaire,,"1,91",Guybert - Nicolas - sculpteur - Actif à Chartres au XVIe siècle - Guibert - Nicolas,taillé/polychrome,
"2,45",Saint Jean l'Evangéliste,139157,https://agorha.inha.fr/inhaprod/ark:/54721/003139157,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0139/elem_0043/FR75_0015_REL_139157_0026_low.jpg,statue,Eglise Saint-Sulpice (Paris),pierre,18e siècle,,Bouchardon - Edme - sculpteur/dessinateur/professeur - 29 mai 1698 - 27 juillet 1762 - 29 mai 1698 - 27 juillet 1762 - Bouchardon - Edmé,taillé,
2,La Sainte Famille,139012,https://agorha.inha.fr/inhaprod/ark:/54721/003139012,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0020/elem_0150/FR00_0001_139012_0095_low.jpg,verrière,Localisation inconnue,verre/plomb,1651,,Le Sueur - Eustache - peintre - 1616 - 1655 - 1616 - 1655 - Le Seur - Eustache,grisaille sur verre,auteur du modèle
,La Fuite en Egypte,,,,,,,,,,,
"2,4",Saint Mathieu,139159,https://agorha.inha.fr/inhaprod/ark:/54721/003139159,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0139/elem_0034/FR75_0015_REL_139159_0017_low.jpg,statue,Eglise Saint-Sulpice (Paris),pierre,18e siècle,,Bouchardon - Edme - sculpteur/dessinateur/professeur - 29 mai 1698 - 27 juillet 1762 - 29 mai 1698 - 27 juillet 1762 - Bouchardon - Edmé,taillé,
2,Moïse et le serpent d'airain,138962,https://agorha.inha.fr/inhaprod/ark:/54721/003138962,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0138/elem_0166/FR75_0011_REL_138962_0010_low.jpg,verrière,Eglise Saint-Étienne-du-Mont (Paris),verre/plomb,Vers 1547,"1,3",Anonyme français - peintre - 1ere moitié du 16e siècle,vitrail/émail sur verre/grisaille sur verre/jaune,de
"0,4",Tête d'homme casqué,135298,https://agorha.inha.fr/inhaprod/ark:/54721/003135298,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0138/elem_0187/FR75_0016_MUS_135298_0008_low.jpg,buste,Département des sculptures du musée du Louvre (Paris),marbre,15e siècle - 16e siècle,"0,325",Juste - Antoine - sculpteur - 1479 - 1519 - 1479 - 1519 - Giusti - Antonio,taillé,attribué à
"1,06","Effigie funéraire de Jacques de Souvré (Paris, 1600-Paris, 1670), chevalier de l'ordre de Malte, grand prieur de France (1667), fils du maréchal de France Gilles de Souvré",135210,https://agorha.inha.fr/inhaprod/ark:/54721/003135210,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0098/FR75_0016_MUS_135210_0103_low.jpg,groupe relié,Département des sculptures du musée du Louvre (Paris),marbre blanc,17e siècle,"1,97",Anguier - François - sculpteur - 1604 - 8 août 1669 - 1604 - 8 août 1669,taillé,
"0,7","Pierre Mignard (Troyes, 1612-Paris, 1695), premier peintre du roi",135241,https://agorha.inha.fr/inhaprod/ark:/54721/003135241,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0172/FR75_0016_MUS_135241_0219_low.jpg,buste,Département des sculptures du musée du Louvre (Paris),marbre/marbre de couleur,17e siècle,"0,565",Desjardins - Martin - sculpteur/historien.ne de l'art - 1637 - 1694 - 1637 - 1694 - 2e moitié du 17e siècle - Bogaert - Martin van den,taillé,
"0,205",Tête d'homme couronné,135587,https://agorha.inha.fr/inhaprod/ark:/54721/003135587,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0069/elem_0052/FR75_0016_MUS_135587_0185_low.jpg,haut-relief/voussure/fragment,Département des sculptures du musée du Louvre (Paris),calcaire,3e quart du 12e siècle,"0,124","Anonyme, Ile-de-France - sculpteur - 12e siècle",taillé,
"0,7","Marie Serre (+ après 1715), veuve du peintre Mathias Rigaud (+ 1699), mère du peintre Hyacinthe Rigaud (1659-1743)",135233,https://agorha.inha.fr/inhaprod/ark:/54721/003135233,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0168/FR75_0016_MUS_135233_0220_low.jpg,buste,Département des sculptures du musée du Louvre (Paris),marbre/marbre de couleur,1706,"0,59",Coysevox - Antoine - sculpteur - 29 septembre 1640 - 10 octobre 1720 - 29 septembre 1640 - 10 octobre 1720 - Coyzevox - Antoine,taillé,
"0,55",Fragment de stèle funéraire : femme voilée,146409,https://agorha.inha.fr/inhaprod/ark:/54721/003146409,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0093/elem_0075/FR75_0002_MUS_146409_1494_low.jpg,stèle,Département des antiquités grecques étrusques et romaines du musée du Louvre (Paris),marbre,L'an 1 - L'an 100,"0,45",,taillé,
"1,1",La conquête de la Franche-Comté (1674),135242,https://agorha.inha.fr/inhaprod/ark:/54721/003135242,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0102/FR75_0016_MUS_135242_0106_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),bronze,1681 - 1685,"1,68",Desjardins - Martin - sculpteur/historien.ne de l'art - 1637 - 1694 - 1637 - 1694 - 2e moitié du 17e siècle - Bogaert - Martin van den,,
"0,57",Sarcophage avec portrait en médaillon et décor de cortège marin,135824,https://agorha.inha.fr/inhaprod/ark:/54721/003135824,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0108/elem_0093/FR75_0057_MUS_135824_0002_low.jpg,sarcophage,Département des antiquités grecques étrusques et romaines du musée du Louvre (Paris),marbre blanc,L'an 225 - L'an 250,"0,65",,taillé,
"2,277",Esclave mourant,135640,https://agorha.inha.fr/inhaprod/ark:/54721/003135640,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0121/FR75_0002_MUS_135640_1035_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),marbre,1513 - 1515,"0,724",Michelangelo - sculpteur/peintre/architecte - 1475 - 1564 - 1475 - 1564 - Michel-Ange,taillé,
"1,47","Obituaire de la tribu Eréchtéide, dit marbre Nointel",142067,https://agorha.inha.fr/inhaprod/ark:/54721/003142067,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0093/elem_0032/FR75_0016_MUS_142067_1452_low.jpg,stèle épigraphique,Département des antiquités grecques étrusques et romaines du musée du Louvre (Paris),marbre blanc,L'an 460 avant J.C. - L'an 459 avant J.C.,"0,59",,gravé,
"0,46","Profil d'applique : Tête d'homme casqué, jadis dit Louis XII en Mars",140625,https://agorha.inha.fr/inhaprod/ark:/54721/003140625,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0171/elem_0110/FR27_0005_DOM_140625_0009_low.jpg,bas-relief,Château de Gaillon,marbre,Vers 1508,"0,23",Anonyme italien - sculpteur,taillé,
,Scipion,,,,,,,,,,,
"2,04",Adam,135022,https://agorha.inha.fr/inhaprod/ark:/54721/003135022,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0056/FR75_0007_MUS_135022_0037_low.jpg,statue,"Musée de Cluny, Musée national du Moyen Âge (Paris)",pierre,Vers 1260,"0,69","Anonyme, Ile-de-France - sculpteur - 13e siècle",taillé,
"1,55","Obituaire des tribus athéniennes pendant la guerre du Péloponnèse, dit marbre Nointel",145716,https://agorha.inha.fr/inhaprod/ark:/54721/003145716,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0079/elem_0154/FR75_0002_MUS_145716_1304_low.jpg,stèle épigraphique,Département des antiquités grecques étrusques et romaines du musée du Louvre (Paris),marbre blanc,L'an 431 avant J.C. - L'an 404 avant J.C.,"0,8",,gravé,
"1,38","Marie de Barbançon-Cani (1567-5 août 1601), première femme du président Jacques-Auguste de Thou",135374,https://agorha.inha.fr/inhaprod/ark:/54721/003135374,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0213/FR75_0016_MUS_135374_0136_low.jpg,statue/priant,Département des sculptures du musée du Louvre (Paris),marbre,Avant 1611,"1,08",Prieur - Barthélemy - sculpteur - Vers 1536 - 1611 - Vers 1536 - 1611,taillé,
"0,61",Fragment de relief : femme assise au squelette,146410,https://agorha.inha.fr/inhaprod/ark:/54721/003146410,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0093/elem_0036/FR75_0016_MUS_146410_1456_low.jpg,bas-relief,Département des antiquités grecques étrusques et romaines du musée du Louvre (Paris),marbre,1er siècle,"0,34",,taillé,
"0,6",Décrêt honorifique à Epaphroditos,145668,https://agorha.inha.fr/inhaprod/ark:/54721/003145668,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0108/elem_0095/FR75_0002_MUS_145668_1499_low.jpg,bas-relief/inscription/décret,Département des antiquités grecques étrusques et romaines du musée du Louvre (Paris),marbre,L'an 323 avant J.C. - L'an 31 avant J.C.,"0,47",,taillé,
"0,28","Chapiteau décoré de feuilles d'acanthe, motifs de vannerie et une croix pattée",135578,https://agorha.inha.fr/inhaprod/ark:/54721/003135578,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0069/elem_0039/FR75_0016_MUS_135578_0176_low.jpg,chapiteau,Département des sculptures du musée du Louvre (Paris),marbre,2e quart du 6e siècle - 3e quart du 6e siècle,"0,305",Anonyme français - sculpteur - 5e siècle - 9e siècle,taillé,
,Chapiteau avec croix,,,,,,,,,,,
3,Bacchus à la grappe,228459,https://agorha.inha.fr/inhaprod/ark:/54721/003228459,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0165/elem_0233/FR75_0002_227707_1325_low.jpg,statue,Localisation inconnue,marbre blanc,,,,,
"1,92","Vénus Richelieu, ou Vénus de Pouzzoles",145724,https://agorha.inha.fr/inhaprod/ark:/54721/003145724,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0093/elem_0017/FR75_0016_MUS_145724_1440_low.jpg,statue,Musée des Beaux-Arts (Orléans),marbre,L'an 100 - L'an 200,,,taillé,
"0,29",Deux griffons aux cous enlacés,135599,https://agorha.inha.fr/inhaprod/ark:/54721/003135599,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0099/FR75_0002_MUS_135599_1013_low.jpg,dalle funéraire/fragment,Département des sculptures du musée du Louvre (Paris),calcaire,4e quart du 13e siècle,"0,185","Anonyme, Ile-de-France - sculpteur - 13e siècle",taillé,
"1,03",Décret en l'honneur de Patrôn,147098,https://agorha.inha.fr/inhaprod/ark:/54721/003147098,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0171/elem_0197/FR75_0058_MUS_147098_0010_low.jpg,stèle épigraphique,Département des antiquités grecques étrusques et romaines du musée du Louvre (Paris),marbre blanc,2e quart du 2e siècle avant J.C.,"0,425",,,
"0,46",L'Espérance (dans l'une des niches du soubassement),135380,https://agorha.inha.fr/inhaprod/ark:/54721/003135380,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0220/FR75_0016_MUS_135380_0203_low.jpg,statuette,Département des sculptures du musée du Louvre (Paris),marbre,1523 - 1524,"0,165",Regnault - Guillaume - sculpteur - 1450 - Vers 1532 - 1450 - Vers 1532 - Régnault - Guillaume,taillé,
"1,36",Stèle funéraire d'une mère décédée à l'accouchement de jumeaux,145733,https://agorha.inha.fr/inhaprod/ark:/54721/003145733,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0093/elem_0027/FR75_0016_MUS_145733_1448_low.jpg,stèle,Département des antiquités grecques étrusques et romaines du musée du Louvre (Paris),marbre blanc,Vers l'an 370 avant J.C.,"0,87",,taillé,
